
Service: Veterinary (ID: 2dff446f-c95f-4310-ba4d-05e3395dd7eb)
------------------------------------------------------------------------------------------------------------------------
  Category: Reception Desk (ID: VET_CAT_VETERINARY_VISITS, Linked Cap: VETERINARY_VISITS)
  Category: Nurse Station (ID: VET_CAT_VETERINARY_VITALS, Linked Cap: VETERINARY_VITALS)
  Category: Laboratory (ID: VET_CAT_VETERINARY_LABS, Linked Cap: VETERINARY_LABS)
  Category: veterinary_pharmacy (ID: VET_CAT_VETERINARY_PHARMACY, Linked Cap: VETERINARY_PHARMACY)
  Category: Schedule (ID: VET_CAT_VETERINARY_SCHEDULE, Linked Cap: VETERINARY_SCHEDULE)
  Category: veterinary_doctor (ID: VET_CAT_VETERINARY_DOCTOR, Linked Cap: VETERINARY_DOCTOR)
  Category: veterinary_doctor (ID: 34857c1d-7f37-4c16-b989-378ddb127ad5, Linked Cap: VETERINARY_DOCTOR)
  Category: Reception Desk (ID: f0e16151-1dd9-409e-9f62-832c1d455cae, Linked Cap: VETERINARY_VISITS)
  Category: Nurse Station (ID: 7dae55eb-1bbe-4249-bb35-cb8a201e2f67, Linked Cap: VETERINARY_VITALS)
  Category: Laboratory (ID: bf255bf5-ffe7-4d27-a4ad-0d5c39a04bee, Linked Cap: VETERINARY_LABS)
  Category: Medicine Reminders (ID: 6a2f2625-c277-43ae-b5d3-ac9e67974d27, Linked Cap: VETERINARY_MEDICINE_REMINDERS)
  Category: veterinary_pharmacy (ID: 7f29f495-d3af-447c-ad03-b51a82940133, Linked Cap: VETERINARY_PHARMACY)

Service: Veterinary Management (ID: 58409ace-6cd4-468d-a6d9-616792cbbd2e)
------------------------------------------------------------------------------------------------------------------------
  Category: VETERINARY_ONLINE_CONSULT (ID: bcd444c4-9136-4a70-85d7-d8dbee4c3a63, Linked Cap: None)
  Category: VETERINARY_OFFLINE_VISIT (ID: d0a588a1-e4a1-4428-80dd-51a0a82db3cf, Linked Cap: None)
  Category: VETERINARY_MEDICINE_REMINDERS (ID: e0b6859f-8eb1-46d4-a9e4-6d58474a784a, Linked Cap: None)
  Category: VETERINARY_VACCINES (ID: f063db79-dd22-4742-94c5-1d75fdfff9bf, Linked Cap: None)
  Category: VETERINARY_CORE (ID: a92bb447-0581-4908-a371-0c2db49739a4, Linked Cap: None)
  Category: VETERINARY_VISITS (ID: 831d48ab-6f22-44be-acf0-8e0332f7d728, Linked Cap: None)
  Category: VETERINARY_VITALS (ID: b09fc06a-f489-4f69-a2b3-badf0934b852, Linked Cap: None)
  Category: VETERINARY_LABS (ID: ae5356a6-08e9-43bc-a002-f701e4c7023d, Linked Cap: None)
  Category: veterinary_pharmacy (ID: 34dee3da-50ed-4b39-853f-642836d0161b, Linked Cap: VETERINARY_PHARMACY)
  Category: veterinary_doctor (ID: 4e320dbb-8e93-4464-b195-69e128e71de8, Linked Cap: VETERINARY_DOCTOR)
