Target          | Name                 | Label                | Required  
---------------------------------------------------------------------------
individual      | first_name           | First Name           | True      
individual      | last_name            | Last Name            | True      
individual      | email                | Email                | True      
individual      | phone_number         | Phone Number         | True      
individual      | profile_image        | Profile Picture      | False     
organization    | organization_name    | Organization Name    | True      
organization    | first_name           | First Name           | True      
organization    | last_name            | Last Name            | True      
organization    | email                | Email                | True      
organization    | phone_number         | Phone Number         | True      
organization    | profile_image        | Profile Picture      | False     
